label,new
bat_coronavirus_HKU4_1,Bat coronavirus HKU4-1
bat_coronavirus_HKU5_1,Bat coronavirus HKU5-1
bat_coronavirus_HKU9_1,Bat coronavirus HKU9-1
bat_coronavirus_Parker,Rat coronavirus Parker
bat_Hp_betacoronavirus_Zhejiang2013,Bat Hp-betacoronavirus
betacoronavirus_England,Betacoronavirus England 1
betacoronavirus_erinaceus,"Betacoronavirus isolate Erinaceus CoV, 2012 "
betacoronavirus_HKU24_strain_HKU24_R05005I,Betacoronavirus HKU24 strain HKU24-R05005I
bovine_coronavirus,Bovine coronavirus
human_coronavirus_HKU1,Human coronavirus OC43 strain ATCC VR-759
human_coronavirus_OC43_strain_ATCC_VR_759,Human coronavirus OC43 strain ATCC VR-759
middle_east_respiratory_syndrome_coronavirus,Middle East respiratory syndrome (MERS) coronavirus
mouse_hepatitis_virus_strain_MHV_A59_C12_mutant,Mouse hepatitis virus strain MHV-A59 C12 mutant
rabbit_coronavirus_HKU14,Rabbit coronavirus HKU14
rousettus_bat_coronavirus_isolate_GCCDC1_356,Rousettus bat coronavirus isolate GCCDC1 356
sars_coronavirus,Severe acute respiratory syndrome (SARS) coronavirus
wuhan_seafood_market_pneumonia_virus_isolate_Wuhan_Hu_1,Wuhan seafood market pneumonia virus isolate Wuhan-Hu-1